,Nodes,Probability of edge,Metropolis,Metropolis + annealing,Gradient descent
0,15.0,0.2,15.0,14.0,9.0
1,15.0,0.2,10.0,13.0,10.0
2,15.0,0.2,10.0,10.0,6.0
3,15.0,0.2,14.0,16.0,12.0
4,15.0,0.2,9.0,8.0,9.0
5,15.0,0.2,16.0,13.0,16.0
6,15.0,0.2,12.0,10.0,11.0
7,15.0,0.2,9.0,12.0,14.0
8,15.0,0.2,10.0,13.0,7.0
9,15.0,0.2,12.0,13.0,15.0
10,16.0,0.3,11.0,12.0,16.0
11,16.0,0.3,16.0,13.0,16.0
12,16.0,0.3,14.0,14.0,15.0
13,16.0,0.3,14.0,16.0,16.0
14,16.0,0.3,11.0,5.0,8.0
15,16.0,0.3,14.0,17.0,14.0
16,16.0,0.3,13.0,15.0,14.0
17,16.0,0.3,9.0,8.0,7.0
18,16.0,0.3,10.0,15.0,13.0
19,16.0,0.3,10.0,13.0,14.0
20,17.0,0.4,16.0,12.0,16.0
21,17.0,0.4,13.0,16.0,15.0
22,17.0,0.4,12.0,14.0,16.0
23,17.0,0.4,11.0,12.0,11.0
24,17.0,0.4,12.0,15.0,16.0
25,18.0,0.3,8.0,12.0,12.0
26,18.0,0.3,10.0,12.0,15.0
27,18.0,0.3,16.0,16.0,16.0
28,18.0,0.3,11.0,11.0,12.0
29,18.0,0.3,10.0,14.0,12.0
30,19.0,0.1,7.0,8.0,7.0
31,19.0,0.1,8.0,13.0,13.0
32,19.0,0.1,12.0,3.0,10.0
33,19.0,0.1,9.0,10.0,8.0
34,19.0,0.1,5.0,10.0,13.0
35,,,,,
